date,close,volume,open,high,low
09-09-2015,43.07,33448580,44.21,44.4,42.91
08-09-2015,43.89,32411680,43.3,44,43.2
04-09-2015,42.61,37019110,42.81,43.04,42.195
03-09-2015,43.5,28206410,43.41,43.98,43.28
02-09-2015,43.36,37624230,42.36,43.38,41.88
01-09-2015,41.82,49682210,42.17,42.59,41.66
31-08-2015,43.52,34434480,43.56,43.93,43.1
28-08-2015,43.93,28243230,43.4,44.15,43.39
27-08-2015,43.9,50612610,43.23,43.95,42.925
26-08-2015,42.71,63297300,42.01,42.84,41.06
25-08-2015,40.47,70369920,42.565,43.24,40.39
24-08-2015,41.68,88489910,40.45,43.31,39.72
21-08-2015,43.07,69463900,45.3,45.48,43.07
20-08-2015,45.66,36176380,46.07,46.47,45.66
19-08-2015,46.61,31472060,46.78,47.08,46.3
18-08-2015,47.27,23572990,46.84,47.43,46.7
17-08-2015,47.32,21039660,46.81,47.45,46.57
14-08-2015,47,21460830,46.53,47.1,46.52
13-08-2015,46.73,22612650,47.06,47.1,46.49
12-08-2015,46.74,30184710,46.19,46.9,45.705
11-08-2015,46.41,28757610,46.82,46.94,45.9
10-08-2015,47.33,23045530,46.95,47.49,46.84
07-08-2015,46.74,19158590,46.39,46.78,46.26
06-08-2015,46.62,27344040,47.71,47.77,46.33
05-08-2015,47.58,27003740,47.98,48.41,47.54
04-08-2015,47.54,33306110,46.75,47.71,46.68
03-08-2015,46.81,23919340,46.98,47,46.45
31-07-2015,46.7,31192430,47.29,47.37,46.5
30-07-2015,46.88,39755700,46.26,47.4,45.93
29-07-2015,46.29,40924210,45.4,46.78,45.26
28-07-2015,45.34,34309080,45.58,45.639,44.79
27-07-2015,45.35,39472930,45.94,46.01,45.25
24-07-2015,45.94,32304070,45.91,46.32,45.8
23-07-2015,46.11,33708200,45.27,46.23,45.1
22-07-2015,45.54,59039160,45.44,46.93,45.203
21-07-2015,47.28,42211210,46.78,47.33,46.48
20-07-2015,46.92,30607770,46.65,47.13,46.44
17-07-2015,46.62,29454740,46.55,46.78,46.26
16-07-2015,46.66,26254220,46.01,46.69,45.965
15-07-2015,45.76,26619810,45.68,45.89,45.43
